"Code","Name","Sector","Source"
"EPAC","PT Megalestari Epack Sentosaraya Tbk","Consumer Discretionary","stockanalysis:company"
"EPMT","PT Enseval Putera Megatrading Tbk.","Healthcare","stockanalysis:company"
"ERAA","PT Erajaya Swasembada Tbk","Consumer Discretionary","stockanalysis:company"
"ERAL","PT Sinar Eka Selaras Tbk","Consumer Discretionary","stockanalysis:company"
"ERTX","PT Eratex Djaja Tbk","Consumer Discretionary","stockanalysis:company"
"ESIP","PT Sinergi Inti Plastindo Tbk","Consumer Discretionary","stockanalysis:company"
"ESSA","PT ESSA Industries Indonesia Tbk.","Materials","stockanalysis:company"
"ESTA","PT Esta Multi Usaha Tbk","Consumer Discretionary","stockanalysis:company"
"ESTI","PT Ever Shine Tex Tbk","Consumer Discretionary","stockanalysis:company"
"EURO","PT Estee Gold Feet Tbk","Consumer Staples","stockanalysis:company"
"EXCL","PT XLSMART Telecom Sejahtera Tbk","Communication Services","stockanalysis:company"
"FAPA","PT FAP Agri Tbk","Consumer Staples","stockanalysis:company"
"FAST","PT Fast Food Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"FASW","PT Fajar Surya Wisesa Tbk","Consumer Discretionary","stockanalysis:company"
"FILM","PT.MD Entertainment Tbk","Communication Services","stockanalysis:company"
"FIMP","PT Fimperkasa Utama Tbk","Industrials","stockanalysis:company"
"FIRE","PT Alfa Energi Investama Tbk","Energy","stockanalysis:company"
"FISH","PT FKS Multi Agro Tbk","Consumer Staples","stockanalysis:company"
"FITT","PT Hotel Fitra International Tbk","Consumer Discretionary","stockanalysis:company"
"FLMC","PT Falmaco Nonwoven Industri Tbk","Consumer Staples","stockanalysis:company"
"FMII","PT Fortune Mate Indonesia Tbk","Real Estate","stockanalysis:company"
"FOLK","PT Multi Garam Utama Tbk","Consumer Discretionary","stockanalysis:company"
"FOOD","PT Sentra Food Indonesia Tbk","Consumer Staples","stockanalysis:company"
"FORE","PT Fore Kopi Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"FORU","PT Fortune Indonesia Tbk","Communication Services","stockanalysis:company"
"FPNI","PT Lotte Chemical Titan Tbk","Materials","stockanalysis:company"
"FUJI","PT Fuji Finance Indonesia Tbk","Financials","stockanalysis:company"
"FUTR","PT Lini Imaji Kreasi Ekosistem Tbk","Utilities","stockanalysis:company"
"FWCT","PT Wijaya Cahaya Timber Tbk","Materials","stockanalysis:company"
"GDST","PT Gunawan Dianjaya Steel Tbk","Materials","stockanalysis:company"
